t,x_meters,y_meters
0.0667,0.2934,1.1329
0.1000,17.4798,1.5173
0.1333,0.3085,1.1447
0.1667,0.0405,1.2645
0.2000,17.5961,0.4974
0.2333,17.6517,0.5361
0.2667,0.4957,1.1026
0.3000,17.4090,1.4432
0.3333,17.1409,1.5696
0.3667,0.0000,0.8295
0.4000,17.3078,0.6272
0.4333,17.2876,0.6676
0.5000,0.0000,1.4769
0.5333,17.0954,0.0750
0.5667,17.2471,1.5679
0.6000,6.2211,5.6445
0.6667,0.5210,0.8147
0.7000,16.1670,1.2734
0.7333,15.8866,1.5898
0.7667,15.5932,1.8731
0.8000,15.3353,2.1546
0.8333,15.0470,2.4193
0.8667,14.7789,2.6758
0.9000,14.4906,2.9079
0.9333,14.2194,3.1496
0.9667,17.3179,0.9306
1.0000,17.6517,0.1517
1.0333,16.7312,1.6792
1.0667,13.1199,3.9670
1.1000,12.8620,4.1289
1.1333,2.8880,2.4092
1.1667,2.8880,2.4092
1.2000,2.8880,2.4092
1.2333,2.8880,2.4092
1.2667,2.8880,2.4092
1.3000,2.8880,2.4092
1.3333,2.8880,2.4092
1.3667,0.5564,0.8716
1.4000,10.5221,5.1878
1.4333,0.0405,1.1329
1.4667,17.2977,1.1228
1.5000,9.7312,5.3225
1.5333,17.2775,0.5597
1.5667,17.4595,0.8598
1.6000,8.9643,5.3597
1.6333,17.0588,0.9662
1.6667,17.5051,0.6997
1.7000,17.5000,0.6921
1.7333,17.4595,0.8497
1.7667,0.4400,1.7517
1.8000,17.2269,0.3136
1.8333,7.1973,5.0929
1.8667,6.9393,5.0173
1.9000,6.6814,4.9179
1.9333,17.2168,0.1484
1.9667,17.5303,1.0014
2.0000,5.9227,4.5841
2.0333,5.6698,4.4419
2.0667,0.5159,0.0607
2.1000,5.1590,4.1238
2.1333,8.6286,5.4692
2.1667,17.3736,1.7315
2.2000,4.3774,3.5546
2.2333,4.1215,3.3500
2.2667,8.6286,5.4735
2.3000,3.6012,2.9049
2.3333,3.3331,2.6570
2.3667,3.0876,2.3964
2.4000,1.8410,0.0000
2.4333,17.5000,0.9913
2.4667,2.2861,1.5898
2.5000,6.8584,4.0125
2.5333,1.5780,0.0101
2.5667,1.5780,0.0017
2.6000,0.1012,0.0405
2.6333,0.3642,0.7796
2.6667,0.3714,0.7828
