t,x_meters,y_meters
0.0333,17.8702,1.0176
0.0667,19.1655,0.2481
0.1000,19.4438,0.1576
0.1333,19.0538,0.0508
0.1667,16.1606,2.5082
0.2000,15.8181,2.7549
0.2333,18.2665,1.2411
0.2667,15.1374,3.2527
0.3000,19.4500,0.0102
0.3333,18.4849,0.9956
0.3667,14.1164,3.8978
0.4000,13.7913,4.0807
0.4333,19.2570,0.4876
0.4667,13.1208,4.4210
0.5000,12.7823,4.5835
0.5333,19.2570,0.0449
0.5667,12.1302,4.8680
0.6000,11.8000,4.9798
0.6333,18.8151,1.0481
0.6667,8.3154,1.6627
0.7000,10.8298,5.2613
0.7333,18.9370,0.6824
0.7667,18.8201,0.9922
0.8000,9.8487,5.4666
0.8333,9.5244,5.5131
0.8667,9.1942,5.5385
0.9000,8.8859,5.5562
0.9333,19.2824,0.4017
0.9667,8.2494,5.5487
1.0000,19.0386,0.3306
1.0333,10.9873,4.4870
1.0667,10.9873,4.4914
1.1000,6.9490,5.4137
1.1333,19.1017,0.7861
1.1667,6.3140,5.2964
1.2000,1.5087,2.7345
1.2333,1.4680,2.7295
1.2667,5.3489,4.9950
1.3000,5.0211,4.8805
1.3333,1.3427,2.7430
1.3667,19.0792,0.3911
1.4000,4.0739,4.4718
1.4333,19.0843,0.4030
1.4667,18.9522,0.7255
1.5000,19.0910,0.3996
1.5333,1.1023,2.7092
1.5667,2.4475,3.5055
1.6000,2.1296,3.2857
1.6333,1.8134,3.0444
1.6667,0.9228,2.7024
1.7000,19.0944,0.4673
1.7333,0.8381,2.6965
1.7667,0.5001,2.0257
1.8000,19.3586,1.3918
1.8333,0.7061,2.6617
1.9000,19.1960,0.8432
1.9667,19.4551,0.8212
2.0000,19.4449,0.8246
2.0333,0.4115,2.6414
2.0667,0.3708,2.6313
2.1000,0.3607,2.5949
2.1667,19.4500,1.1141
2.2333,19.4500,1.1345
2.2667,0.1168,2.5703
2.3000,0.0864,2.5601
2.3667,0.0000,2.5263
2.4000,19.4428,1.1231
2.4333,19.4449,1.1243
2.6667,19.1402,0.0068
2.7000,19.1452,0.0000
2.7667,19.2875,0.4004
