t,x_meters,y_meters
0.0333,0.0000,1.2386
0.0667,16.9372,0.0885
0.1000,16.0476,1.6089
0.1333,17.0109,0.2412
0.1667,15.6986,2.3019
0.2000,15.5118,2.6312
0.2333,15.3428,2.9634
0.2667,17.1830,1.2943
0.3000,14.9864,3.5725
0.3333,14.8188,3.8334
0.3667,17.0847,0.6455
0.4000,14.4962,4.3804
0.4333,16.4703,1.4319
0.4667,14.1602,4.8380
0.5000,16.9372,0.6848
0.5333,13.8358,5.2755
0.5667,13.6638,5.4819
0.6000,16.8782,0.5939
0.6333,13.3443,5.8358
0.6667,7.3136,4.1991
0.7000,17.3894,0.1540
0.7333,16.9175,1.0485
0.7667,12.7201,6.4158
0.8000,0.3146,0.5570
0.8333,17.0453,0.5603
0.8667,12.2456,6.7276
0.9000,17.2195,1.2522
0.9333,11.9514,6.8856
0.9667,17.1141,1.1993
1.0000,11.6437,7.0006
1.0333,11.4913,7.0519
1.0667,17.2616,1.4942
1.1000,17.2911,1.4811
1.1333,11.0539,7.1284
1.1667,1.8579,0.0000
1.2000,10.7409,7.1099
1.2333,10.5870,7.0940
1.2667,1.8912,0.0050
1.3000,14.7058,0.6881
1.3333,17.3009,1.3312
1.3667,17.2960,1.3385
1.4000,9.8492,6.8317
1.4333,9.7164,6.7641
1.4667,9.5597,6.6664
1.5000,16.9864,0.8421
1.5333,9.2747,6.4797
1.5667,9.1464,6.3362
1.6000,17.0856,0.4755
1.6333,14.7254,0.6783
1.6667,17.0847,0.4571
1.7000,8.5605,5.7565
1.7333,2.6787,0.0213
1.7667,2.6738,0.0262
1.8000,8.1283,5.2292
1.8333,7.9869,5.0248
1.8667,5.8243,3.5503
1.9000,17.1191,1.2107
1.9333,7.5568,4.3577
1.9667,2.5902,0.0213
2.0000,2.5902,0.0213
2.0333,7.1493,3.6055
2.0667,6.9843,3.3340
2.1000,6.8532,3.0515
2.1333,7.9378,4.6906
2.1667,6.5786,2.4663
2.2000,6.4289,2.1436
2.2333,6.2882,1.8177
2.2667,7.2988,4.1831
2.3000,7.2988,4.1831
2.3333,5.8364,0.8099
2.3667,7.2988,4.1831
2.4000,5.5578,0.0542
2.4333,7.2988,4.1831
2.4667,2.7573,0.9896
