t,x_meters,y_meters
0.0333,1.1790,1.2802
0.0667,15.8118,0.9277
0.1000,0.6880,1.5512
0.1333,16.8806,0.8857
0.1667,0.4839,0.6239
0.2000,16.8910,0.9334
0.2333,1.0818,1.4600
0.2667,0.7075,2.7726
0.3000,0.3283,1.3968
0.3333,1.2374,3.2101
0.3667,1.4902,3.4289
0.4000,1.7529,3.6221
0.4333,15.3694,0.9156
0.4667,15.3132,0.9176
0.5000,15.2761,0.9338
0.5333,2.7699,4.2748
0.5667,0.7464,1.2704
0.6000,16.6869,0.3930
0.6333,16.8522,0.3443
0.6667,0.6589,0.6433
0.7000,4.0035,4.8338
0.7333,4.2369,4.9068
0.7667,0.4887,1.3944
0.8000,4.7279,5.0332
0.8333,14.8638,0.9496
0.8667,5.2027,5.1158
0.9000,5.4461,5.1324
0.9333,5.6737,5.1450
0.9667,14.7266,0.9773
1.0000,14.6888,0.9496
1.0333,6.3821,5.1095
1.0667,6.6044,5.0818
1.1000,6.8417,5.0417
1.1333,3.3667,3.3433
1.1667,7.3141,4.9289
1.2000,0.1970,0.1693
1.2333,16.7295,0.8800
1.2667,7.9947,4.6848
1.3000,8.2183,4.5810
1.3333,8.4517,4.4498
1.3667,14.3874,0.9593
1.4000,8.9087,4.1776
1.4333,16.5021,0.3176
1.4667,16.6966,0.0097
1.5000,16.6771,0.0000
1.5333,16.6771,0.0000
1.5667,10.0338,3.3096
1.6000,0.0000,0.9425
1.6333,10.4975,2.8885
1.6667,10.7414,2.6545
1.7000,10.9623,2.4102
1.7333,11.1838,2.1487
1.7667,11.4354,1.8761
