t,x_meters,y_meters
0.0333,0.4678,1.2252
0.0667,17.0165,1.3910
0.1000,0.0000,1.6281
0.1333,16.7609,0.7584
0.1667,0.1769,1.6355
0.2000,1.4201,1.3480
0.2333,0.2309,1.7559
0.2667,16.6676,0.4562
0.3000,0.6322,1.6019
0.3333,0.7518,0.8714
0.3667,16.6381,0.9205
0.4000,1.2432,1.3234
0.4333,0.4029,1.7100
0.4667,0.5995,1.4414
0.5000,0.9189,1.4070
0.5333,1.0761,2.1735
0.5667,1.4987,2.3050
0.6000,0.4816,0.2359
0.6333,0.4717,0.2064
0.6667,2.8685,2.6531
0.7000,3.2972,2.7534
0.7333,0.4914,0.3047
0.7667,0.4422,1.1466
0.8000,0.4472,1.1416
0.8333,0.4275,1.6772
0.8667,1.1449,1.6379
0.9000,0.4256,1.6033
0.9333,0.4619,0.6896
0.9667,7.0611,3.1317
1.0000,0.9484,0.1491
1.0333,0.6556,0.2101
1.0667,1.0319,1.5528
1.1000,8.6581,3.0236
1.1333,0.9631,1.5233
1.1667,1.0810,1.5331
1.2000,16.7560,1.7632
1.2333,8.6090,5.9758
1.2667,8.6090,5.9801
1.3000,11.0429,2.5481
1.3333,11.4590,2.4389
1.3667,11.8521,2.3111
1.4000,14.9871,0.9795
1.4333,0.4668,1.5741
1.4667,13.0510,1.8689
1.5000,1.6117,0.1736
1.5333,13.8569,1.5151
1.5667,14.8021,0.9518
1.6000,14.6726,1.1171
1.6333,14.7285,0.9622
1.6667,17.1884,0.0098
1.7000,14.6464,0.9631
1.7667,0.5307,0.9729
1.8000,0.5012,0.9926
1.8333,16.4219,0.0000
1.8667,16.5005,0.4226
1.9000,16.3040,0.0000
1.9333,0.4591,0.1610
1.9667,0.5398,0.9319
2.0000,14.3040,0.9233
