t,x_meters,y_meters
0.0333,0.3726,1.3965
0.0667,0.3829,1.3820
0.1000,0.0687,0.7045
0.1333,16.2699,0.8477
0.1667,0.2455,0.8019
0.2000,0.1988,0.8849
0.2333,0.0000,0.2234
0.2667,0.0196,0.2193
0.3000,16.3141,1.2225
0.3333,15.9901,1.5694
0.3667,15.9901,1.5858
0.4333,16.4074,0.5474
0.5000,16.0441,0.5400
0.5333,0.0393,0.8182
0.5667,16.4512,0.7668
0.6000,0.2357,0.5335
0.6333,0.3240,0.4438
0.6667,7.5458,6.0506
0.7000,7.5458,6.0506
0.7333,0.0786,0.9655
0.7667,0.1227,0.8002
0.8000,15.9066,0.0859
0.8333,0.1375,0.9459
0.8667,14.5981,1.1091
0.9000,14.1932,1.3010
0.9333,15.0917,1.3288
0.9667,13.3930,1.6594
1.0000,12.9942,1.8150
1.0333,16.5203,0.0000
1.0667,16.2994,0.8984
1.1000,11.8367,2.1945
1.1333,11.4685,2.2927
1.1667,15.9006,0.5876
1.2000,10.7003,2.4811
1.2333,7.7128,5.5821
1.2667,7.7128,5.5821
1.3000,7.7177,5.5814
1.3333,7.7177,5.5814
1.3667,15.6023,1.3681
1.4000,8.5032,2.7886
1.4333,15.5826,1.1914
1.4667,7.7177,5.5814
1.5000,7.4076,2.7890
1.5333,7.0549,2.7640
1.5667,6.6965,2.7383
1.6000,0.3633,1.3427
1.6333,5.9895,2.6462
1.6667,16.1816,0.7904
1.7000,16.2798,0.3568
1.7333,4.8927,2.4524
1.7667,4.5440,2.3589
1.8000,4.1927,2.2682
1.8333,3.8490,2.1536
1.8667,0.4222,0.7462
1.9000,0.4129,0.7483
1.9333,0.4124,0.7495
1.9667,2.4105,1.5661
2.0000,15.7643,0.0147
2.0333,16.3829,0.9512
2.0667,1.2323,1.3678
2.1000,16.0637,0.4549
2.1333,0.2504,0.2995
2.1667,15.9557,0.4648
2.2000,15.9571,0.4783
2.2333,15.9726,0.4881
2.2667,15.9754,0.4885
2.3333,1.2568,0.1113
